
2021-01-16T04:09:33.818465,29,ecg,processed,1
2021-01-16T04:09:33.818719,29,ecg,detected,1
2021-01-16T04:09:34.018430,29,thermometer,processed,1
2021-01-16T04:09:34.218720,29,thermometer,detected,1
2021-01-16T04:09:34.418716,30,oximeter,processed,1
2021-01-16T04:09:34.418819,30,oximeter,detected,1
2021-01-16T04:09:34.818878,30,thermometer,processed,1
2021-01-16T04:09:34.818969,30,thermometer,detected,1
2021-01-16T04:09:35.419242,31,oximeter,processed,1
2021-01-16T04:09:35.419463,31,oximeter,detected,1
2021-01-16T04:09:35.819504,31,ecg,processed,1
2021-01-16T04:09:36.019530,31,ecg,processed,1
2021-01-16T04:09:36.019647,31,ecg,detected,1
2021-01-16T04:09:36.820018,32,ecg,processed,1
2021-01-16T04:09:36.820150,32,ecg,detected,1
2021-01-16T04:09:37.820935,33,ecg,processed,0
2021-01-16T04:09:38.020619,33,ecg,processed,0
2021-01-16T04:09:38.020749,33,ecg,detected,1
2021-01-16T04:09:38.821061,34,thermometer,processed,1
2021-01-16T04:09:38.821164,34,thermometer,detected,1
2021-01-16T04:09:39.221408,35,oximeter,processed,1
2021-01-16T04:09:39.221528,35,oximeter,detected,1
2021-01-16T04:09:39.821688,35,thermometer,processed,1
2021-01-16T04:09:39.821817,35,thermometer,detected,1
2021-01-16T04:09:40.822332,36,ecg,processed,1
2021-01-16T04:09:40.822454,36,ecg,detected,1
2021-01-16T04:09:41.823046,37,thermometer,processed,1
2021-01-16T04:09:41.823205,37,thermometer,detected,1
2021-01-16T04:09:42.223373,38,oximeter,processed,1
2021-01-16T04:09:42.223597,38,oximeter,detected,1
2021-01-16T04:09:43.223785,39,oximeter,processed,1
2021-01-16T04:09:43.223954,39,oximeter,detected,1
2021-01-16T04:09:43.824235,39,thermometer,processed,1
2021-01-16T04:09:43.824424,39,thermometer,detected,1
2021-01-16T04:09:44.224505,40,oximeter,processed,1
2021-01-16T04:09:44.224668,40,oximeter,detected,1
2021-01-16T04:09:44.824723,40,thermometer,processed,1
2021-01-16T04:09:44.824796,40,thermometer,detected,1
2021-01-16T04:09:45.224965,41,oximeter,processed,1
2021-01-16T04:09:45.225171,41,oximeter,detected,1
2021-01-16T04:09:45.625118,41,ecg,processed,1
2021-01-16T04:09:45.625261,41,ecg,detected,1
2021-01-16T04:09:45.825193,41,thermometer,processed,1
2021-01-16T04:09:45.825282,41,thermometer,detected,1
2021-01-16T04:09:46.225525,42,oximeter,processed,1
2021-01-16T04:09:46.225726,42,oximeter,detected,1
2021-01-16T04:09:46.825805,42,thermometer,processed,1
2021-01-16T04:09:46.825929,42,thermometer,detected,1
2021-01-16T04:09:47.225946,43,oximeter,processed,1
2021-01-16T04:09:47.226046,43,oximeter,detected,1
2021-01-16T04:09:47.626198,43,ecg,processed,1
2021-01-16T04:09:47.626414,43,ecg,detected,1
2021-01-16T04:09:47.826352,43,thermometer,processed,1
2021-01-16T04:09:47.826564,43,thermometer,detected,1
2021-01-16T04:09:49.227009,45,oximeter,processed,1
2021-01-16T04:09:49.227154,45,oximeter,detected,1
2021-01-16T04:09:49.627228,45,ecg,processed,1
2021-01-16T04:09:49.627397,45,ecg,detected,1
2021-01-16T04:09:49.827341,45,thermometer,processed,1
2021-01-16T04:09:49.827556,45,thermometer,detected,1
2021-01-16T04:09:50.227581,46,oximeter,processed,1
2021-01-16T04:09:50.227774,46,oximeter,detected,1
2021-01-16T04:09:50.627837,46,ecg,processed,1
2021-01-16T04:09:50.628064,46,ecg,detected,1
2021-01-16T04:09:50.827848,46,thermometer,processed,1
2021-01-16T04:09:50.827954,46,thermometer,detected,1
2021-01-16T04:09:51.228138,47,oximeter,processed,1
2021-01-16T04:09:51.228341,47,oximeter,detected,1
2021-01-16T04:09:51.628297,47,ecg,processed,1
2021-01-16T04:09:51.628436,47,ecg,detected,1
2021-01-16T04:09:51.828354,47,thermometer,processed,1
2021-01-16T04:09:51.828488,47,thermometer,detected,1
2021-01-16T04:09:52.228565,48,oximeter,processed,1
2021-01-16T04:09:52.228739,48,oximeter,detected,1
2021-01-16T04:09:52.628798,48,ecg,processed,1
2021-01-16T04:09:52.628965,48,ecg,detected,1
2021-01-16T04:09:52.828850,48,thermometer,processed,1
2021-01-16T04:09:52.828975,48,thermometer,detected,1
2021-01-16T04:09:53.229159,49,oximeter,processed,1
2021-01-16T04:09:53.229415,49,oximeter,detected,1
2021-01-16T04:09:53.629277,49,ecg,processed,1
2021-01-16T04:09:53.629455,49,ecg,detected,1
2021-01-16T04:09:53.829442,49,thermometer,processed,1
2021-01-16T04:09:53.829618,49,thermometer,detected,1
2021-01-16T04:09:54.629778,50,ecg,processed,1
2021-01-16T04:09:54.629880,50,ecg,detected,1
2021-01-16T04:09:55.230171,51,oximeter,processed,1
2021-01-16T04:09:55.230393,51,oximeter,detected,1
2021-01-16T04:09:55.630310,51,ecg,processed,1
2021-01-16T04:09:55.630472,51,ecg,detected,1
2021-01-16T04:09:55.830453,51,thermometer,processed,1
2021-01-16T04:09:55.830655,51,thermometer,detected,1
2021-01-16T04:09:56.230744,52,oximeter,processed,1
2021-01-16T04:09:56.231023,52,oximeter,detected,1
2021-01-16T04:09:56.630848,52,ecg,processed,1
2021-01-16T04:09:56.630987,52,ecg,detected,1
2021-01-16T04:09:56.830902,52,thermometer,processed,1
2021-01-16T04:09:56.830997,52,thermometer,detected,1
2021-01-16T04:09:57.231184,53,oximeter,processed,1
2021-01-16T04:09:57.231318,53,oximeter,detected,1
2021-01-16T04:09:57.631412,53,ecg,processed,1
2021-01-16T04:09:57.631564,53,ecg,detected,1
2021-01-16T04:09:57.831472,53,thermometer,processed,1
2021-01-16T04:09:57.831573,53,thermometer,detected,1
2021-01-16T04:09:58.231784,54,oximeter,processed,1
2021-01-16T04:09:58.232017,54,oximeter,detected,1
2021-01-16T04:09:58.631902,54,ecg,processed,1
2021-01-16T04:09:58.632060,54,ecg,detected,1
2021-01-16T04:09:58.831979,54,thermometer,processed,1
2021-01-16T04:09:58.832068,54,thermometer,detected,1
2021-01-16T04:09:59.232482,55,oximeter,processed,1
2021-01-16T04:09:59.232649,55,oximeter,detected,1
2021-01-16T04:09:59.632731,55,ecg,processed,1
2021-01-16T04:09:59.632906,55,ecg,detected,1
2021-01-16T04:09:59.832765,55,thermometer,processed,1
2021-01-16T04:09:59.832893,55,thermometer,detected,1
2021-01-16T04:10:00.232982,56,oximeter,processed,1
2021-01-16T04:10:00.233156,56,oximeter,detected,1
2021-01-16T04:10:00.633151,56,ecg,processed,1
2021-01-16T04:10:00.633289,56,ecg,detected,1
2021-01-16T04:10:00.833286,56,thermometer,processed,1
2021-01-16T04:10:00.833478,56,thermometer,detected,1
2021-01-16T04:10:01.233541,57,oximeter,processed,1
2021-01-16T04:10:01.233693,57,oximeter,detected,1
2021-01-16T04:10:01.633752,57,ecg,processed,1
2021-01-16T04:10:01.633979,57,ecg,detected,1
2021-01-16T04:10:01.833785,57,thermometer,processed,1
2021-01-16T04:10:01.833946,57,thermometer,detected,1
2021-01-16T04:10:02.234061,58,oximeter,processed,1
2021-01-16T04:10:02.234300,58,oximeter,detected,1
2021-01-16T04:10:02.634183,58,ecg,processed,1
2021-01-16T04:10:02.634300,58,ecg,detected,1
2021-01-16T04:10:03.634723,59,ecg,processed,1
2021-01-16T04:10:03.634864,59,ecg,detected,1
2021-01-16T04:10:03.834907,59,thermometer,processed,1
2021-01-16T04:10:03.835114,59,thermometer,detected,1
2021-01-16T04:10:04.235095,60,oximeter,processed,1
2021-01-16T04:10:04.235789,60,oximeter,detected,1
2021-01-16T04:10:04.635226,60,ecg,processed,1
2021-01-16T04:10:04.635370,60,ecg,detected,1
2021-01-16T04:10:04.835318,60,thermometer,processed,1
2021-01-16T04:10:04.835449,60,thermometer,detected,1
2021-01-16T04:10:05.635689,61,ecg,processed,1
2021-01-16T04:10:05.635822,61,ecg,detected,1
2021-01-16T04:10:06.236029,62,oximeter,processed,1
2021-01-16T04:10:06.236223,62,oximeter,detected,1
2021-01-16T04:10:06.636272,62,ecg,processed,1
2021-01-16T04:10:06.636441,62,ecg,detected,1
2021-01-16T04:10:07.236616,63,oximeter,processed,1
2021-01-16T04:10:07.236778,63,oximeter,detected,1
2021-01-16T04:10:08.237039,64,oximeter,processed,1
2021-01-16T04:10:08.237143,64,oximeter,detected,1
2021-01-16T04:10:08.637262,64,ecg,processed,1
2021-01-16T04:10:08.637477,64,ecg,detected,1
2021-01-16T04:10:10.238052,66,oximeter,processed,1
2021-01-16T04:10:10.238221,66,oximeter,detected,1
2021-01-16T04:10:10.638201,66,ecg,processed,1
2021-01-16T04:10:10.638399,66,ecg,detected,1
2021-01-16T04:10:10.838293,66,thermometer,processed,1
2021-01-16T04:10:10.838457,66,thermometer,detected,1
2021-01-16T04:10:11.238460,67,oximeter,processed,1
2021-01-16T04:10:11.238549,67,oximeter,detected,1
2021-01-16T04:10:11.638838,67,ecg,processed,1
2021-01-16T04:10:11.639045,67,ecg,detected,1
2021-01-16T04:10:12.639240,68,ecg,processed,1
2021-01-16T04:10:12.639419,68,ecg,detected,1
2021-01-16T04:10:12.839364,68,thermometer,processed,1
2021-01-16T04:10:12.839513,68,thermometer,detected,1
2021-01-16T04:10:13.239577,69,oximeter,processed,1
2021-01-16T04:10:13.239722,69,oximeter,detected,1
2021-01-16T04:10:13.839849,69,thermometer,processed,1
2021-01-16T04:10:13.839956,69,thermometer,detected,1
2021-01-16T04:10:14.240173,70,oximeter,processed,1
2021-01-16T04:10:14.240354,70,oximeter,detected,1
2021-01-16T04:10:14.640400,70,ecg,processed,1
2021-01-16T04:10:14.640557,70,ecg,detected,1
2021-01-16T04:10:14.840471,70,thermometer,processed,1
2021-01-16T04:10:15.040615,70,thermometer,processed,1
2021-01-16T04:10:15.040745,70,thermometer,detected,1
2021-01-16T04:10:15.640983,71,ecg,processed,1
2021-01-16T04:10:15.641193,71,ecg,detected,1
2021-01-16T04:10:15.841055,71,thermometer,processed,1
2021-01-16T04:10:15.841240,71,thermometer,detected,1
2021-01-16T04:10:16.241224,72,oximeter,processed,1
2021-01-16T04:10:16.241327,72,oximeter,detected,1
2021-01-16T04:10:16.641579,72,ecg,processed,1
2021-01-16T04:10:16.641797,72,ecg,detected,1
2021-01-16T04:10:16.841552,72,thermometer,processed,1
2021-01-16T04:10:16.841665,72,thermometer,detected,1
2021-01-16T04:10:17.241714,73,oximeter,processed,1
2021-01-16T04:10:17.241831,73,oximeter,detected,1
2021-01-16T04:10:17.641902,73,ecg,processed,1
2021-01-16T04:10:17.642037,73,ecg,detected,1
2021-01-16T04:10:18.642448,74,ecg,processed,1
